RIAGENDR,
RIDAGEYR,
RIDRETH3,
DMQMILIZ,
DMQADFC,
DMDBORN4,
DMDYRSUS,
DMDEDUC2,
DMDMARTL,
WTINT2YR,
WTMEC2YR,
INDFMPIR,
ALQ101,
ALQ141Q,
BMXBMI,
BMDAVSAD,
BPXPLS,
BPXSY1,
BPXDI1,
BPXSY2,
BPXDI2,
BPXSY3,
BPXDI3,
BPXSY4,
BPXDI4,
BPQ020,
BPQ030,
BPQ080,
DBQ700,
DBQ197,
DBQ223A,
DBQ223B,
DBQ223C,
DBQ223D,
DBQ223E,
DBQ223U,
DBD895,
DBD900,
DBD905,
DBD910,
DLQ050,
DLQ100,
DLQ130,
DUQ200,
DUQ217,
DUQ219,
DUQ250,
DUQ272,
DUQ290,
DUQ330,
DUQ352,
HIQ011,
MCQ080,
MCQ092,
MCQ160G,
MCQ300A,
MCQ300C,
MCQ365A,
MCQ365B,
MCQ365C,
MCQ365D,
WTDRD1_nutrient1,
WTDR2D_nutrient1,
DR1DRSTZ_nutrient1,
DRDINT_nutrient1,
DBQ095Z,
DBD100,
DRQSPREP,
DR1TNUMF,
DR1TKCAL,
DR1TPROT,
DR1TCARB,
DR1TSUGR,
DR1TFIBE,
DR1TTFAT,
DR1TSFAT,
DR1TMFAT,
DR1TPFAT,
DR1TCHOL,
DR1TATOC,
DR1TATOA,
DR1TRET,
DR1TVARA,
DR1TACAR,
DR1TBCAR,
DR1TCRYP,
DR1TLYCO,
DR1TLZ,
DR1TVB1,
DR1TVB2,
DR1TNIAC,
DR1TVB6,
DR1TFOLA,
DR1TFA,
DR1TFF,
DR1TFDFE,
DR1TCHL,
DR1TVB12,
DR1TB12A,
DR1TVC,
DR1TVD,
DR1TVK,
DR1TCALC,
DR1TPHOS,
DR1TMAGN,
DR1TIRON,
DR1TZINC,
DR1TCOPP,
DR1TSODI,
DR1TPOTA,
DR1TSELE,
DR1TCAFF,
DR1TTHEO,
DR1TALCO,
DR1TMOIS,
DR1TS040,
DR1TS060,
DR1TS080,
DR1TS100,
DR1TS120,
DR1TS140,
DR1TS160,
DR1TS180,
DR1TM161,
DR1TM181,
DR1TM201,
DR1TM221,
DR1TP182,
DR1TP183,
DR1TP184,
DR1TP204,
DR1TP205,
DR1TP225,
DR1TP226,
DR1_300,
DR1_320Z,
DRD340,
DRD360,
WTDRD1_nutrient2,
WTDR2D_nutrient2,
DR2DRSTZ_nutrient2,
DRDINT_nutrient2,
DR2TNUMF,
DR2TKCAL,
DR2TPROT,
DR2TCARB,
DR2TSUGR,
DR2TFIBE,
DR2TTFAT,
DR2TSFAT,
DR2TMFAT,
DR2TPFAT,
DR2TCHOL,
DR2TATOC,
DR2TATOA,
DR2TRET,
DR2TVARA,
DR2TACAR,
DR2TBCAR,
DR2TCRYP,
DR2TLYCO,
DR2TLZ,
DR2TVB1,
DR2TVB2,
DR2TNIAC,
DR2TVB6,
DR2TFOLA,
DR2TFA,
DR2TFF,
DR2TFDFE,
DR2TCHL,
DR2TVB12,
DR2TB12A,
DR2TVC,
DR2TVD,
DR2TVK,
DR2TCALC,
DR2TPHOS,
DR2TMAGN,
DR2TIRON,
DR2TZINC,
DR2TCOPP,
DR2TSODI,
DR2TPOTA,
DR2TSELE,
DR2TCAFF,
DR2TTHEO,
DR2TALCO,
DR2TMOIS,
DR2TS040,
DR2TS060,
DR2TS080,
DR2TS100,
DR2TS120,
DR2TS140,
DR2TS160,
DR2TS180,
DR2TM161,
DR2TM181,
DR2TM201,
DR2TM221,
DR2TP182,
DR2TP183,
DR2TP184,
DR2TP204
DR2TP205,
DR2TP225,
DR2TP226,
DR2_300,
DR2_320Z,
OCQ180,
PAQ605,
PAQ620,
PAQ635,
PAQ650,
PAQ665,
PAQ710,
PAQ715,
SLD012,
SLQ120,
SMQ020,
SMD030,
SMQ040,
SMD650,
SMQ621,
SMQ925,
SMQ930,
SMQ935,
DSDCOUNT,
DSD010AN,
DSQTKCAL,
DSQTPROT,
DSQTCARB,
DSQTSUGR,
DSQTFIBE,
DSQTTFAT,
DSQTSFAT,
DSQTMFAT,
DSQTPFAT,
DSQTCHOL,
DSQTLYCO,
DSQTLZ,
DSQTVB1,
DSQTVB2,
DSQTNIAC,
DSQTVB6,
DSQTFA,
DSQTFDFE,
DSQTCHL,
DSQTVB12,
DSQTVC,
DSQTVK,
DSQTVD,
DSQTCALC,
DSQTPHOS,
DSQTMAGN,
DSQTIRON,
DSQTZINC,
DSQTCOPP,
DSQTSODI,
DSQTPOTA,
DSQTSELE,
DSQTCAFF,
DSQTIODI,
WHQ225,
WHD110,
WHD120,
WHD140,
WHQ150,
